,id,burnout60,area,gender,age,wduration_y,earning1,earning2_r,wtime_r,woutside4_a,wtime_length5,age_group,emp_period_group,wtime_group,compsize_group,woutside_group,compsize_group_a,wday_week_group_a,woutside4_group_a,occ_t2_group_a,earning2_group_b,occ_group_a,emp_stat,emp_con_term,emp_keep,emp_own_mgmt,emp_fptime,emp_wage,emp_stat_sp,income_pos_a,income_pos_b,income_pos_c,income_pos_d,income_pos_e,income_pos_f,income_pos_g,income_pos_h,income_pos_i,income_pos_j,emp_place,emp_suggest_a,emp_suggest_b,emp_boss_gender,emp_manaqual_a,emp_manaqual_b,emp_manaqual_c,emp_manaqual_d,emp_manaqual_e,emp_comp_ass_a,emp_comp_ass_b,emp_comp_ass_c,emp_comp_ass_d,emp_comp_ass_e,emp_comp_ass_f,emp_rep,emp_winflu_a,emp_winflu_b,emp_winflu_c,emp_tra_b,emp_tra_c,emp_tra_d,wsector,comp_size_a,comp_size_b,comp_female,comp_sjob,ch_tech,ch_me,ch_ps,imte1,imte2,imte3,imte4,imte5,safeinform,wsituation1,wsituation2,wsituation3,wsituation4,wsituation5,wsituation11,wsituation6,wsituation7,wsituation,wsituation.1,wsituation10,wsituation12,wsituation13,wsituation14,wstat1,wstat2,wstat3,wstat4,wstat5,wstat6,wstat7,emo_manual,asb5,asb6,asb7,disc1,disc5,disc,disc10,disc11,disc6,disc7,disc.1,disc2,disc3,disc4,wtime_con1,wday,wday_week,ctime,wtime_night_a,wtime_sun_a,wtime_sat_a,wtime_long_a,wtime_night2,wtime_night3,wtime_resilience,wtime_arr_a,wtime_ftwork,wtime_ftcomtool,wtime_private,hazard_phy_b,hazard_erg_a,hazard_erg_b,hazard_erg_c,hazard_erg_d,hazard_erg_e,winten2_a,winten2_b,winten1_a,winten1_b,decla_a,decla_b,decla_c,winten3_a,winten3_b,winten3_c,winten3_d,winten3_e,winterrupt1,weng1,weng2,weng3,weng4,weng5,condim1,condim2,condim3,condim4,condim5,condim6,ass_cust1,alter_task1,wteam1,satisfaction,wplace4,wplace3,wplace2,wplace1,wpalce_ch,wtime_length1,wtime_length2,wtime_length3,wtime_length4,job1,wtime,wtime_week,wbalance,wwa1,wwa2,wwa3,wwa4,wwa5,heal_risk,heal_abs1,heal_wsick1,asb1,asb2,asb3,asb4,heal_aff,heal_cond,heal_illhe,heal_lim1,heal_prob1,heal_prob2,heal_prob3,heal_prob4,heal_prob5,heal_prob6,heal_prob8,sleep1,sleep2,sleep3,who1,who2,who3,who4,who5,woutside3,woutside4,woutside5,income_con,income_bal,edu,marital,children,panel_survey,ind,ind2,occ,occ2,earning1_r,ptime_r,comp_sizea_r,comp_sizeb_r,stratification,district,household,target,mode,hh_num,eli_num,hm_01_gender,hm_01_year,hm_01_estat,hm_01_rel_t
0,1000042_1,lv1,1,1,49,10,500,6,40.0,1,2,4,5,2,4,0,1,2,2,2,5,2,1,2.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,1,3,3.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1,4.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,2,2,2.0,3.0,3.0,3.0,2.0,2.0,2,3,2,1,1.0,2,3.0,3.0,3,2,2.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1,5,60.0,0.0,0.0,0.0,0.0,2,2,2.0,1.0,4.0,4,3.0,7.0,6,1,7.0,7.0,7.0,5.0,5.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,3.0,3,3,2,2,2,1.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,5.0,5.0,5.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,1,40.0,2.0,4,4,3,3,3,2.0,0.0,2.0,2.0,2.0,2.0,2.0,3.0,4.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,4,4,4,3.0,3,3,2,2.0,4.0,3.0,5.0,1.0,4.0,5.0,1.0,1.0,2,7,46,3,313,500,40.0,4.0,4,1112,10001,1000042,1,1,3,2,1,1974,2,0
1,1000051_1,lv2,1,1,31,2,300,4,48.0,1,2,3,2,2,11,0,3,2,2,2,4,2,1,2.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,1,3,3.0,3.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,2.0,3.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,1,11.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,2,2,3.0,3.0,2.0,2.0,3.0,2.0,2,3,2,2,2.0,2,3.0,3.0,3,2,2.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1,5,60.0,0.0,1.0,1.0,0.0,2,2,2.0,1.0,4.0,4,4.0,5.0,2,5,6.0,2.0,3.0,6.0,6.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,3.0,4,4,4,2,2,1.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,5.0,5.0,5.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,1,48.0,3.0,4,4,3,5,5,2.0,0.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,4,4,4,3.0,3,3,2,2.0,2.0,4.0,4.0,1.0,3.0,6.0,2.0,2.0,2,7,47,3,312,300,40.0,11.0,11,1112,10001,1000051,1,1,1,1,1,1992,2,0
2,1000056_1,lv1,1,1,32,2,300,4,50.0,1,2,3,2,2,1,0,1,3,2,3,4,5,1,2.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,1,2,2.0,3.0,2.0,3.0,2.0,2.0,3.0,3.0,3.0,2.0,3.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,1,2.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,2.0,2.0,3,3,3.0,3.0,2.0,3.0,2.0,2.0,3,2,2,1,1.0,1,3.0,3.0,3,2,2.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1,6,30.0,0.0,1.0,1.0,0.0,2,2,2.0,1.0,4.0,4,4.0,7.0,1,6,6.0,5.0,5.0,5.0,5.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,3.0,2,2,2,1,1,1.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,5.0,5.0,5.0,1.0,4.0,1.0,1.0,1.0,2.0,1.0,1,50.0,2.0,4,4,3,3,3,2.0,0.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,4,4,4,2.0,2,4,3,3.0,2.0,4.0,5.0,1.0,3.0,5.0,2.0,2.0,2,9,56,4,441,300,40.0,2.0,2,1112,10001,1000056,1,1,1,1,1,1991,2,0
3,1000069_1,lv1,1,1,38,2,390,4,40.0,1,2,3,2,2,10,0,3,2,1,2,4,2,1,2.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,1,1,3.0,1.0,2.0,2.0,2.0,1.0,3.0,1.0,2.0,2.0,3.0,4.0,2.0,2.0,2.0,2.0,2.0,1.0,1,10.0,1.0,1.0,2.0,2.0,2.0,4.0,4.0,4.0,3.0,4.0,1.0,2,1,7.0,7.0,7.0,2.0,2.0,1.0,3,2,3,4,4.0,4,2.0,2.0,1,3,3.0,4.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,7.0,7.0,7.0,7.0,7.0,7.0,1.0,1,5,70.0,0.0,0.0,0.0,0.0,2,2,2.0,1.0,5.0,4,2.0,7.0,7,1,7.0,7.0,7.0,7.0,7.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,7.0,7.0,2.0,4.0,1,1,2,4,3,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,5.0,5.0,5.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,1,40.0,1.0,5,4,5,5,5,2.0,0.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,5,5,4,2.0,1,3,1,2.0,1.0,5.0,5.0,1.0,1.0,6.0,1.0,1.0,2,6,42,3,312,390,32.0,10.0,10,1112,10002,1000069,1,1,2,2,1,1985,2,0
4,1000069_2,lv1,1,2,37,5,330,4,40.0,1,2,3,4,2,7,0,2,2,1,3,4,7,1,2.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,1,2,1.0,1.0,2.0,1.0,2.0,3.0,1.0,3.0,1.0,2.0,3.0,2.0,4.0,1.0,2.0,2.0,2.0,1.0,1,7.0,2.0,3.0,2.0,2.0,2.0,3.0,3.0,2.0,4.0,3.0,2.0,1,3,7.0,7.0,7.0,1.0,2.0,1.0,3,2,2,4,4.0,5,1.0,2.0,2,5,1.0,4.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,7.0,7.0,7.0,7.0,7.0,7.0,1.0,1,5,0.0,0.0,0.0,0.0,0.0,2,2,2.0,1.0,5.0,3,2.0,7.0,7,1,7.0,7.0,7.0,7.0,7.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,4.0,2,2,1,4,3,2.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,5.0,5.0,5.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,1,40.0,2.0,5,5,4,5,5,2.0,0.0,7.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,4,5,5,2.0,1,3,1,2.0,1.0,5.0,5.0,2.0,1.0,6.0,1.0,2.0,2,13,71,2,273,330,32.0,7.0,7,1112,10002,1000069,2,1,2,2,1,1985,2,0
5,1000077_1,lv1,1,1,31,1,380,4,40.0,1,2,3,2,2,10,0,3,2,3,3,4,3,1,1.0,2.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,1,2,1.0,3.0,1.0,2.0,1.0,3.0,2.0,1.0,3.0,1.0,3.0,4.0,4.0,1.0,2.0,2.0,1.0,1.0,1,10.0,1.0,1.0,2.0,2.0,2.0,3.0,1.0,1.0,3.0,4.0,1.0,2,1,7.0,7.0,7.0,2.0,1.0,3.0,3,1,2,4,4.0,4,1.0,2.0,1,5,2.0,5.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,7.0,7.0,7.0,7.0,7.0,7.0,1.0,1,5,60.0,0.0,0.0,0.0,0.0,2,2,2.0,1.0,5.0,4,3.0,7.0,7,1,7.0,7.0,7.0,6.0,6.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,4.0,2,1,2,4,4,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,5.0,5.0,5.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,1,40.0,2.0,5,5,7,5,5,2.0,0.0,7.0,2.0,2.0,2.0,2.0,3.0,1.0,2.0,3.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,4,5,5,1.0,2,2,1,2.0,1.0,2.0,5.0,1.0,1.0,6.0,1.0,2.0,2,11,66,2,272,380,30.0,10.0,10,1112,10002,1000077,1,1,1,1,1,1992,2,0
6,1000088_1,lv1,1,1,43,8,390,4,40.0,1,2,4,4,2,6,0,2,2,1,2,4,2,1,2.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,1,2,1.0,3.0,1.0,2.0,1.0,1.0,3.0,2.0,2.0,3.0,3.0,4.0,2.0,2.0,2.0,2.0,2.0,1.0,1,6.0,2.0,3.0,2.0,2.0,2.0,3.0,4.0,2.0,3.0,2.0,3.0,2,1,7.0,7.0,7.0,2.0,3.0,2.0,2,1,2,4,2.0,4,1.0,2.0,1,5,2.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,7.0,7.0,7.0,7.0,7.0,7.0,1.0,1,5,0.0,0.0,0.0,0.0,0.0,2,2,2.0,1.0,5.0,3,2.0,7.0,7,1,7.0,7.0,7.0,6.0,6.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,4.0,1,1,2,3,4,2.0,2.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,5.0,5.0,5.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,1,40.0,2.0,5,5,4,5,5,2.0,0.0,7.0,2.0,2.0,2.0,2.0,3.0,1.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,4,4,5,2.0,1,3,2,2.0,1.0,5.0,5.0,1.0,2.0,6.0,1.0,1.0,2,10,63,3,312,390,32.0,6.0,6,1112,10002,1000088,1,1,2,2,1,1980,2,0
7,1000088_2,lv1,1,2,39,7,340,4,40.0,1,2,3,4,2,10,0,3,2,1,2,4,2,1,2.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,1,1,3.0,1.0,2.0,2.0,2.0,3.0,1.0,3.0,3.0,2.0,3.0,2.0,4.0,1.0,2.0,2.0,2.0,1.0,1,10.0,1.0,1.0,2.0,2.0,2.0,2.0,3.0,1.0,4.0,4.0,2.0,1,1,7.0,7.0,7.0,1.0,3.0,2.0,2,1,2,5,4.0,4,2.0,1.0,3,5,1.0,4.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,7.0,7.0,7.0,7.0,7.0,7.0,1.0,1,5,70.0,0.0,0.0,0.0,0.0,2,2,2.0,1.0,5.0,4,3.0,7.0,7,1,7.0,7.0,7.0,7.0,7.0,2.0,2.0,2.0,2.0,2.0,2.0,7.0,7.0,7.0,1.0,4.0,2,1,3,4,4,2.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,5.0,5.0,5.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,1,40.0,2.0,5,5,4,5,5,2.0,0.0,7.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,5,5,4,2.0,3,2,2,1.0,1.0,5.0,5.0,2.0,1.0,6.0,1.0,1.0,2,6,41,3,330,340,32.0,10.0,10,1112,10002,1000088,2,1,2,2,1,1980,2,0
8,1000092_1,lv1,1,2,56,3,210,3,45.0,1,2,5,3,2,7,0,2,2,1,2,3,5,1,1.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2,1,3.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,3.0,2.0,3.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,1,7.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,1.0,3.0,2.0,2.0,1,2,7.0,7.0,7.0,2.0,1.0,3.0,2,2,1,3,4.0,2,2.0,2.0,1,5,2.0,4.0,4.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,7.0,7.0,7.0,7.0,7.0,7.0,1.0,1,5,50.0,0.0,0.0,0.0,0.0,2,2,2.0,1.0,5.0,5,4.0,7.0,7,1,7.0,7.0,7.0,6.0,6.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,7.0,7.0,1.0,4.0,2,2,1,3,3,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,5.0,5.0,5.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,1,45.0,3.0,4,5,7,5,5,2.0,0.0,7.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,4,5,5,2.0,3,2,1,2.0,1.0,5.0,5.0,1.0,1.0,4.0,2.0,2.0,2,8,52,3,399,210,30.0,7.0,7,1112,10002,1000092,1,1,1,1,2,1967,2,0
9,1000121_1,lv1,1,2,34,5,320,4,40.0,1,2,3,4,2,4,1,1,2,3,2,4,3,1,2.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2,3,1.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,3.0,2.0,3.0,4.0,1.0,2.0,2.0,2.0,2.0,1.0,1,4.0,3.0,3.0,2.0,2.0,2.0,3.0,3.0,3.0,4.0,4.0,3.0,2,2,7.0,7.0,7.0,1.0,3.0,2.0,2,1,3,2,4.0,4,1.0,1.0,2,5,1.0,4.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,7.0,7.0,7.0,7.0,7.0,7.0,1.0,1,5,0.0,0.0,0.0,0.0,0.0,2,2,2.0,1.0,5.0,5,2.0,7.0,7,1,7.0,7.0,7.0,6.0,6.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,1.0,4.0,2,1,1,3,4,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,5.0,5.0,5.0,1.0,4.0,2.0,2.0,2.0,1.0,1.0,1,40.0,3.0,5,5,7,5,5,2.0,0.0,7.0,2.0,2.0,2.0,2.0,3.0,1.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,4,5,5,1.0,1,3,2,1.0,2.0,1.0,5.0,1.0,2.0,6.0,2.0,2.0,2,7,46,5,510,320,32.0,4.0,4,1112,10002,1000121,1,1,1,1,2,1989,2,0
