,id,imte1,imte2,imte3,imte4,imte5,safeinform,skillmat,wsituation1,wsituation2,wsituation3,wsituation4,wsituation5,wsituation11,wsituation6,wsituation7,wsituation,wsituation.1,wsituation10,wsituation12,wsituation13,wsituation14,wstat1,wstat2,wstat3,wstat4,wstat5,wstat6,wstat7,emo_manual,asb5,asb6,asb7,disc1,disc5,disc,disc10,disc11,disc6,disc7,disc.1,disc2,disc3,disc4,wtime_con1,wday,wday_week,ctime,wtime_night_a,wtime_sun_a,wtime_sat_a,wtime_long_a,wtime_night2,wtime_night3
0,1000042_1,2.0,2.0,2.0,1.0,1.0,2.0,2.0,2,2,2.0,3.0,3.0,3.0,2.0,2.0,2,3,2,1,1.0,2,3.0,3.0,3,2,2.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1,5,60.0,0.0,0.0,0.0,0.0,2,2
1,1000051_1,2.0,2.0,1.0,1.0,2.0,2.0,2.0,2,2,3.0,3.0,2.0,2.0,3.0,2.0,2,3,2,2,2.0,2,3.0,3.0,3,2,2.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1,5,60.0,0.0,1.0,1.0,0.0,2,2
2,1000056_1,2.0,2.0,3.0,3.0,2.0,2.0,2.0,3,3,3.0,3.0,2.0,3.0,2.0,2.0,3,2,2,1,1.0,1,3.0,3.0,3,2,2.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1,6,30.0,0.0,1.0,1.0,0.0,2,2
3,1000069_1,4.0,4.0,4.0,3.0,4.0,1.0,2.0,2,1,7.0,7.0,7.0,2.0,2.0,1.0,3,2,3,4,4.0,4,2.0,2.0,1,3,3.0,4.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,7.0,7.0,7.0,7.0,7.0,7.0,1.0,1,5,70.0,0.0,0.0,0.0,0.0,2,2
4,1000069_2,3.0,3.0,2.0,4.0,3.0,2.0,2.0,1,3,7.0,7.0,7.0,1.0,2.0,1.0,3,2,2,4,4.0,5,1.0,2.0,2,5,1.0,4.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,7.0,7.0,7.0,7.0,7.0,7.0,1.0,1,5,0.0,0.0,0.0,0.0,0.0,2,2
5,1000077_1,3.0,1.0,1.0,3.0,4.0,1.0,2.0,2,1,7.0,7.0,7.0,2.0,1.0,3.0,3,1,2,4,4.0,4,1.0,2.0,1,5,2.0,5.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,7.0,7.0,7.0,7.0,7.0,7.0,1.0,1,5,60.0,0.0,0.0,0.0,0.0,2,2
6,1000088_1,3.0,4.0,2.0,3.0,2.0,3.0,2.0,2,1,7.0,7.0,7.0,2.0,3.0,2.0,2,1,2,4,2.0,4,1.0,2.0,1,5,2.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,7.0,7.0,7.0,7.0,7.0,7.0,1.0,1,5,0.0,0.0,0.0,0.0,0.0,2,2
7,1000088_2,2.0,3.0,1.0,4.0,4.0,2.0,2.0,1,1,7.0,7.0,7.0,1.0,3.0,2.0,2,1,2,5,4.0,4,2.0,1.0,3,5,1.0,4.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,7.0,7.0,7.0,7.0,7.0,7.0,1.0,1,5,70.0,0.0,0.0,0.0,0.0,2,2
8,1000092_1,3.0,2.0,1.0,3.0,2.0,2.0,2.0,1,2,7.0,7.0,7.0,2.0,1.0,3.0,2,2,1,3,4.0,2,2.0,2.0,1,5,2.0,4.0,4.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,7.0,7.0,7.0,7.0,7.0,7.0,1.0,1,5,50.0,0.0,0.0,0.0,0.0,2,2
9,1000121_1,3.0,3.0,3.0,4.0,4.0,3.0,2.0,2,2,7.0,7.0,7.0,1.0,3.0,2.0,2,1,3,2,4.0,4,1.0,1.0,2,5,1.0,4.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,7.0,7.0,7.0,7.0,7.0,7.0,1.0,1,5,0.0,0.0,0.0,0.0,0.0,2,2
10,1000136_1,4.0,4.0,4.0,3.0,4.0,2.0,2.0,2,1,7.0,7.0,7.0,2.0,1.0,3.0,2,3,3,3,2.0,4,1.0,2.0,1,5,1.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,7.0,7.0,7.0,7.0,7.0,7.0,1.0,1,5,65.0,0.0,0.0,0.0,0.0,2,2
